ts,mid,position,exposure,realized,unrealized,total,mode
2025-08-23T11:29:19.255431+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:19.518667+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:19.783669+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:20.050529+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:20.313315+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:20.577481+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:20.858633+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:21.121559+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:21.386813+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:21.657162+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:21.922651+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:22.186916+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:22.453178+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:22.715573+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:22.979623+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:23.245203+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:23.509559+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:23.775308+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:24.040117+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:24.307188+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:24.572563+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:24.837511+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:25.105649+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:25.375753+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:25.641041+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:25.908663+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:26.174125+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:26.439201+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:26.706084+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:26.970665+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:27.235587+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:27.504993+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:27.769081+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:28.036901+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:28.305935+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:28.567536+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:28.836761+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:29.105634+00:00,115469.675,0,0.000,0,0,0,normal
2025-08-23T11:29:29.363380+00:00,115472.975,0,0.000,0,0,0,normal
2025-08-23T11:29:29.635299+00:00,115472.975,0,0.000,0,0,0,normal
2025-08-23T11:29:29.900350+00:00,115472.975,0,0.000,0,0,0,normal
2025-08-23T11:29:30.158367+00:00,115472.975,0,0.000,0,0,0,normal
2025-08-23T11:29:30.419238+00:00,115472.975,0,0.000,0,0,0,normal
2025-08-23T11:29:30.707816+00:00,115472.975,0,0.000,0,0,0,normal
2025-08-23T11:29:30.965982+00:00,115472.975,0,0.000,0,0,0,normal
2025-08-23T11:29:31.234352+00:00,115472.975,0,0.000,0,0,0,normal
2025-08-23T11:29:31.499410+00:00,115472.975,0,0.000,0,0,0,normal
2025-08-23T11:29:31.768071+00:00,115472.975,0,0.000,0,0,0,normal
2025-08-23T11:29:32.027391+00:00,115472.975,0,0.000,0,0,0,normal
2025-08-23T11:29:32.296479+00:00,115472.975,0,0.000,0,0,0,normal
2025-08-23T11:29:32.558083+00:00,115472.975,0,0.000,0,0,0,normal
2025-08-23T11:29:32.816597+00:00,115472.975,0,0.000,0,0,0,normal
2025-08-23T11:29:33.074512+00:00,115472.975,0,0.000,0,0,0,normal
2025-08-23T11:29:33.338955+00:00,115472.975,0,0.000,0,0,0,normal
2025-08-23T11:29:33.603641+00:00,115472.975,0,0.000,0,0,0,normal
2025-08-23T11:29:33.870955+00:00,115472.975,0,0.000,0,0,0,normal
2025-08-23T11:29:34.130532+00:00,115472.975,0,0.000,0,0,0,normal
2025-08-23T11:29:34.388068+00:00,115472.975,0,0.000,0,0,0,normal
2025-08-23T14:32:27.204315+00:00,115024.005,0,0.000,0,0,0,normal
2025-08-23T14:32:27.532708+00:00,115024.005,0,0.000,0,0,0,normal
2025-08-23T14:32:27.801251+00:00,115024.005,0,0.000,0,0,0,normal
2025-08-23T14:32:28.051856+00:00,115024.005,0,0.000,0,0,0,normal
2025-08-23T14:32:28.304149+00:00,115024.005,0,0.000,0,0,0,normal
2025-08-23T14:32:28.555052+00:00,115024.005,0,0.000,0,0,0,normal
2025-08-23T14:32:28.806561+00:00,115024.005,0,0.000,0,0,0,normal
2025-08-23T14:32:29.056942+00:00,115024.005,0,0.000,0,0,0,normal
2025-08-23T14:32:29.359514+00:00,115024.005,0,0.000,0,0,0,normal
2025-08-23T14:32:29.650910+00:00,115024.005,0,0.000,0,0,0,normal
2025-08-23T14:32:29.941227+00:00,115024.005,0,0.000,0,0,0,normal
2025-08-23T14:32:30.249021+00:00,115024.005,0,0.000,0,0,0,normal
2025-08-23T14:32:30.544809+00:00,115024.005,0,0.000,0,0,0,normal
2025-08-23T14:32:30.855338+00:00,115024.005,0,0.000,0,0,0,normal
2025-08-23T14:32:31.159356+00:00,115024.005,0,0.000,0,0,0,normal
2025-08-23T14:32:31.460219+00:00,115038.245,0,0.000,0,0,0,normal
2025-08-23T14:32:31.756459+00:00,115038.245,0,0.000,0,0,0,normal
